Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Same City
Data Scientist,63-105 ,4.3,SMC 3,"Louisville, KY","Peachtree City, GA",51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,0,0,63,105,84.0,SMC 3,KY,89,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,M,0
Data Scientist,109-177 ,4.0,Novetta,"Herndon, VA","Mc Lean, VA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,109,177,143.0,Novetta,VA,12,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,data scientist,na,na,0
Digital Health Data Scientist,63-110 ,4.0,Pfizer,"Cambridge, MA","New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,110,86.5,Pfizer,MA,175,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,0
Data Scientist,75-124 ,3.5,First Tech Federal Credit Union,"Hillsboro, OR","San Jose, CA",1001 - 5000 ,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,0,0,75,124,99.5,First Tech Federal Credit Union,OR,72,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,data scientist,na,na,0
Associate Data Analyst,34-61 ,3.7,The Hanover Insurance Group,"Worcester, MA","Worcester, MA",5001 - 10000 ,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,0,0,34,61,47.5,The Hanover Insurance Group,MA,172,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na,1
Clinical Data Scientist,63-105 ,4.0,Pfizer,"Groton, CT","New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,105,84.0,Pfizer,CT,175,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,0
Data Scientist,80-90 ,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90,85.0,KnowBe4,FL,14,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,1
Data Scientist,56-97 ,3.8,PNNL,"Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist,72-120 ,3.6,Amrock,"Detroit, MI","Detroit, MI",1001 - 5000 ,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,0,0,72,120,96.0,Amrock,MI,27,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,1
Data Scientist / Machine Learning Expert,86-143 ,3.8,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,86,143,114.5,Novartis,MA,28,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,data scientist,na,na,0
Data Scientist,93-149 ,3.8,Juniper Networks,"Sunnyvale, CA","Sunnyvale, CA",5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,0,93,149,121.0,Juniper Networks,CA,28,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,data scientist,na,M,1
Data Scientist,85-140 ,4.7,New England Biolabs,"Ipswich, MA","Ipswich, MA",201 - 500 ,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,85,140,112.5,New England Biolabs,MA,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Web Data Analyst,77-135 ,4.2,Clarity Insights,"San Jose, CA","Chicago, IL",201 - 500 ,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,77,135,106.0,Clarity Insights,CA,16,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na,0
Data Scientist,82-132 ,3.5,Esri,"Redlands, CA","Redlands, CA",1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,82,132,107.0,Esri,CA,55,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,data scientist,na,M,1
Data Scientist,83-137 ,4.7,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,83,137,110.0,Systems & Technology Research,MA,14,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,data scientist,na,P,1
Senior Data Scientist,115-180 ,3.5,Sartorius,"Fremont, CA","Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,115,180,147.5,Sartorius,CA,154,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,0
Data Engineer,74-138 ,3.5,Lancer Insurance,"Long Beach, NY","Long Beach, NY",201 - 500 ,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,0,0,74,138,106.0,Lancer Insurance,NY,39,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,M,1
Data Analyst,64-112 ,4.2,Sauce Labs,"San Francisco, CA","San Francisco, CA",201 - 500 ,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",0,0,64,112,88.0,Sauce Labs,CA,16,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,analyst,na,na,1
Data Engineer,68-129 ,3.6,Persivia,"Marlborough, MA","Lowell, MA",1 - 50 ,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,68,129,98.5,Persivia,MA,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na,0
Data Scientist - Algorithms & Inference,110-175 ,4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175,142.5,Nuna,CA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,1
Scientist,52-113 ,3.4,Edgewell Personal Care,"Allendale, NJ","Shelton, CT",5001 - 10000 ,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",0,0,52,113,82.5,Edgewell Personal Care,NJ,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,0
Senior Data Scientist,110-150,4.3,Equity Residential,"Chicago, IL","Chicago, IL",1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,110,150,130.0,Equity Residential,IL,31,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,data scientist,sr,M,1
Data Scientist,150-160,5.0,BPA Services,"Washington, DC","Alexandria, VA",unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,1,150,160,155.0,BPA Services,DC,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,0
Lead Data Scientist,158-211 ,3.7,Visa Inc.,"Bellevue, WA","Foster City, CA",10000+ ,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,158,211,100.62601078167116,Visa Inc.,WA,66,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,data scientist,sr,na,0
Associate Data Analyst,20-39 ,3.1,Intrado,"Longmont, CO","Omaha, NE",5001 - 10000 ,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,0,0,20,39,29.5,Intrado,CO,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,M,0
Spectral Scientist/Engineer,56-117 ,4.7,Centauri,"Beavercreek, OH","Chantilly, VA",501 - 1000 ,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",0,0,56,117,86.5,Centauri,OH,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,0
College Hire - Data Scientist - Open to December 2019 Graduates,63-99 ,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,63,99,81.0,Caterpillar,IL,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,0
Data Scientist,68-114 ,3.8,Zimmerman Advertising,"Fort Lauderdale, FL","Fort Lauderdale, FL",501 - 1000 ,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,68,114,91.0,Zimmerman Advertising,FL,40,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na,1
"Data Scientist, Office of Data Science",86-143 ,3.3,Liberty Mutual Insurance,"Boston, MA","Boston, MA",10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,86,143,114.5,Liberty Mutual Insurance,MA,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Data Science Analyst,41-95 ,4.6,"Torch Technologies, Inc.","Huntsville, AL","Huntsville, AL",1001 - 5000 ,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,41,95,68.0,"Torch Technologies, Inc.",AL,22,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,1
Data Scientist,86-144 ,3.7,Swiss Re,"Armonk, NY","Zurich, Switzerland",10000+ ,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",0,0,86,144,115.0,Swiss Re,NY,161,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,0
Data Scientist,80-139 ,3.7,Northrop Grumman,"San Diego, CA","Falls Church, VA",10000+ ,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,80,139,109.5,Northrop Grumman,CA,85,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,0
Data Scientist,56-95 ,3.5,Sartorius,"Albuquerque, NM","Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,56,95,75.5,Sartorius,NM,154,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,0
Data Scientist,120-189 ,4.1,Netskope,"San Francisco, CA","Santa Clara, CA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189,154.5,Netskope,CA,12,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,data scientist,na,P,0
Data Scientist,111-176 ,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 - 200 ,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,111,176,143.5,1904labs,MO,8,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist,54-93 ,4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,ClearOne Advantage,MD,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist,71-119 ,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95.0,CyrusOne,TX,24,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na,1
Senior Data Scientist,82-132 ,4.4,The David J. Joseph Company,"Cincinnati, OH","Cincinnati, OH",201 - 500 ,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,0,0,82,132,107.0,The David J. Joseph Company,OH,139,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,data scientist,sr,M,1
Data Scientist,84-146 ,4.3,USEReady,"New York, NY","New York, NY",201 - 500 ,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,84,146,115.0,USEReady,NY,13,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na,1
Senior Risk Data Scientist,107-172 ,3.8,Bill.com,"Palo Alto, CA","Palo Alto, CA",501 - 1000 ,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,0,0,107,172,139.5,Bill.com,CA,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,1
Data Scientist in Artificial Intelligence Early Career,49-85 ,3.8,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49,85,67.0,Pacific Northwest National Laboratory,WA,59,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M,1
Data Scientist,61-109 ,3.8,DICK'S Sporting Goods - Corporate,"Coraopolis, PA","Coraopolis, PA",10000+ ,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",0,0,61,109,85.0,DICK'S Sporting Goods - Corporate,PA,76,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M,1
Data Scientist,88-148 ,2.8,Berg Health,"Framingham, MA","Framingham, MA",51 - 200 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,88,148,118.0,Berg Health,MA,18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,P,1
Data Scientist,60-99 ,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,0,0,60,99,79.5,Oversight Systems,GA,21,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist - Research,41-72 ,3.1,C Space,"Boston, MA","Boston, MA",201 - 500 ,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",0,0,41,72,56.5,C Space,MA,25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,1
Data Scientist,96-161 ,3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1 - 50 ,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,96,161,128.5,"Numeric, LLC",PA,-1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na,0
R&D Data Analysis Scientist,65-130 ,4.0,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,65,130,97.5,HP Inc.,WA,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,0
Analytics Consultant,52-81 ,4.4,SpringML,"Indianapolis, IN","Pleasanton, CA",1 - 50 ,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,52,81,66.5,SpringML,IN,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data analitics,na,na,0
"Director, Data Science",139-220 ,3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",10000+ ,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1,0,0,139,220,100.62601078167116,Grainger,IL,97,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,1
Scientist,50-102 ,2.7,EAG Laboratories,"Maryland Heights, MO","San Diego, CA",501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,0,0,50,102,76.0,EAG Laboratories,MO,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,0
Data Scientist SR,85-139 ,3.9,The Buffalo Group,"Charlottesville, VA","Reston, VA",501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,85,139,112.0,The Buffalo Group,VA,14,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M,0
Data Scientist,74-122 ,3.1,Carmeuse,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 - 5000 ,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",0,0,74,122,98.0,Carmeuse,PA,164,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,M,0
R&D Sr Data Scientist,99-157 ,4.0,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,99,157,128.0,HP Inc.,WA,85,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,data scientist,sr,M,0
Customer Data Scientist/Sales Engineer (Bay,79-222 ,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,79,222,150.5,h2o.ai,CA,13,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,data scientist,na,P,1
Research Scientist,57-118 ,1.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 - 200 ,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,0,0,57,118,87.5,GNS Healthcare,MA,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,1
Data Scientist,83-137 ,3.3,Peraton,"Chantilly, VA","Herndon, VA",1001 - 5000 ,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,0,83,137,110.0,Peraton,VA,7,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,data scientist,na,na,0
